short_name,long_name,overall,potential,value,positions,position,nationality,age,height,weight,club,wage,release,club_position,end,jersey number,start,foot,national_position,national_number
D. Olaru,Darius Olaru,72,77,3500000,"CM,CAM,RW",RM,Romania,24,177,71,FCSB (Steaua),11000,5000000,CM,2024,27,2020,Right,-,-
M. Vidangossy,Mathías Vidangossy,72,72,950000,"CAM,LM,RM",CAM,Chile,35,171,71,Unión La Calera,3000,1300000,SUB,2022,16,2022,Right,-,-
M. Vitík,Martin Vitík,72,82,4700000,"CB,RB",CB,Czech Republic,19,193,77,AC Sparta Praha,500,11300000,RES,2024,41,2019,Right,-,-
D. Rubio,Diego Rubio,72,72,2300000,"ST,CAM",ST,Chile,29,180,77,Colorado Rapids,8000,3300000,CAM,2022,11,2019,Right,-,-
M. Sáček,Michal Sáček,72,74,2600000,"CDM,CM",CM,Czech Republic,25,178,72,AC Sparta Praha,700,5900000,SUB,2023,16,2016,Right,-,-
S. Moore,Shaquell Moore,72,76,3000000,"RB,RM",RWB,United States,25,180,74,Nashville SC,6000,4700000,RB,2025,18,2022,Right,-,-
A. Traoré,Adama Traoré,72,72,2500000,"RW,CAM",RW,Mali,27,177,74,Ferencvárosi TC,900,5500000,CAM,2025,20,2022,Left,-,-
F. Miretti,Fabio Miretti,72,87,5500000,"CM,CDM",CAM,Italy,18,179,72,Juventus,20000,12800000,SUB,2026,20,2021,Right,-,-
A. Cordaz,Alex Cordaz,72,72,250000,GK,GK,Italy,39,188,83,Inter,16000,413000,SUB,2023,21,2021,Right,-,-
N. Fernández,Nicolás Fernández,72,75,3100000,"ST,LW,RW",ST,Argentina,26,165,66,Defensa y Justicia,13000,4900000,ST,2025,9,2022,Right,-,-
S. Aydoğdu,Soner Aydoğdu,72,72,1900000,"CM,CDM",CM,Turkey,31,180,72,Antalyaspor,19000,3800000,CM,2024,5,2022,Left,-,-
A. Reca,Arkadiusz Reca,72,72,2300000,"LWB,LM,LB",LWB,Poland,27,187,81,Spezia,12000,4099999,LM,2025,13,2022,Left,-,-
J. Stage,Jens Stage,72,74,2900000,"CM,RM",CM,Denmark,25,185,83,SV Werder Bremen,17000,5400000,CM,2024,6,2022,Right,-,-
Vanderleiton,M. Vanderlei Paulino Kenedy,72,72,2400000,CB,CB,Brazil,22,180,77,Santos,15000,4600000,CB,2025,4,2022,Right,-,-
F. Zampano,Francesco Zampano,72,72,2100000,"RB,LB",RB,Italy,28,177,74,Venezia FC,4000,3400000,RB,2025,7,2022,Right,-,-
J. Stanislas,Junior Stanislas,72,72,1900000,"LW,LM,RW",LW,England,32,183,76,AFC Bournemouth,34000,3800000,SUB,2023,19,2014,Right,-,-
A. Bamba,Abdoul Kader Bamba,72,72,2400000,"LM,RM,CM",LM,France,28,177,74,FC Nantes,19000,4800000,SUB,2024,55,2018,Right,-,-
P. De Blasis,Pablo De Blasis,72,72,1100000,"CAM,CM",CAM,Argentina,34,166,65,FC Cartagena,7000,1800000,CAM,2023,8,2021,Right,-,-
H. Toffolo,Harry Toffolo,72,73,2500000,"LWB,LB",LWB,England,26,183,71,Nottingham Forest,36000,4900000,LWB,2025,15,2022,Left,-,-
M. Thiaw,Malick Thiaw,72,83,4800000,CB,CB,Germany,20,191,80,AC Milan,24000,9100000,RES,2027,28,2022,Right,-,-
D. Odoi,Denis Odoi,72,72,850000,"RB,CDM",RB,Ghana,34,178,75,Club Brugge KV,16000,1200000,CDM,2024,6,2022,Right,CDM,8
G. Akkan,Gökhan Akkan,72,74,2100000,GK,GK,Turkey,27,188,80,MKE Ankaragücü,8000,4400000,GK,2024,23,2015,Right,-,-
L. Lerager,Lukas Lerager,72,72,2300000,CM,CDM,Denmark,28,188,82,F.C. København,18000,3000000,SUB,2025,12,2022,Right,-,-
A. Gunn,Angus Gunn,72,76,2500000,GK,GK,England,26,196,77,Norwich City,22000,4900000,SUB,2025,28,2021,Right,-,-
O. Tymchyk,Oleksandr Tymchyk,72,76,3000000,RB,RB,Ukraine,25,180,67,Dynamo Kyiv,650,6800000,SUB,2025,24,2015,Right,-,-
D. Okereke,David Okereke,72,77,3600000,"ST,RW,LW",ST,Nigeria,24,181,79,US Cremonese,10000,6800000,ST,2025,77,2022,Right,-,-
L. Vázquez,Luis Vázquez,72,82,5500000,ST,ST,Argentina,21,190,78,Boca Juniors,10000,8800000,SUB,2025,38,2021,Right,-,-
E. Kawashima,Eiji Kawashima,72,72,250000,GK,GK,Japan,39,185,82,RC Strasbourg Alsace,8000,475000,SUB,2023,16,2018,Right,-,-
J. Ryerson,Julian Ryerson,72,76,3100000,"RWB,CDM",RWB,Norway,24,183,86,1. FC Union Berlin,16000,5800000,LWB,2023,6,2018,Right,SUB,14
S. Kingsley,Stephen Kingsley,72,73,2400000,"CB,LWB,LB",CB,Scotland,27,178,77,Heart of Midlothian,6000,4500000,CB,2025,3,2020,Left,-,-
J. Torres,Jonathan Torres,72,76,3300000,ST,ST,Argentina,25,187,73,Club Atlético Sarmiento,10000,5000000,SUB,2024,9,2014,Right,-,-
Kainho Selva,Kaio Antonaldo Selva Mota,72,72,2400000,CB,CB,Brazil,22,183,79,Atlético Clube Goianiense,8000,4600000,CB,2025,16,2022,Right,-,-
Mario Suárez,Mario Suárez Mata,72,72,650000,"CDM,CM,CB",CDM,Spain,35,188,80,Rayo Vallecano,10000,1400000,SUB,2023,4,2019,Right,-,-
C. Álvarez,Cristian Álvarez,72,72,250000,GK,GK,Argentina,36,186,83,Real Zaragoza,4000,400000,GK,2023,1,2017,Right,-,-
A. Touré,Abdoulaye Touré,72,73,2300000,"CDM,CM",CDM,France,28,188,84,Genoa,4000,3900000,RES,2025,94,2021,Right,-,-
K. Laifis,Konstantinos Laifis,72,72,2000000,CB,CB,Cyprus,29,186,84,Standard de Liège,12000,3000000,CB,2023,34,2018,Left,-,-
E. Pavez,Esteban Pavez,72,72,1600000,"CDM,CM",CDM,Chile,32,180,76,Colo-Colo,5000,2200000,CM,2023,23,2022,Right,-,-
E. Vignato,Emanuel Vignato,72,82,5500000,CAM,CAM,Italy,21,175,67,Bologna,16000,10500000,SUB,2024,55,2020,Right,-,-
M. Boyle,Martin Boyle,72,72,2300000,"RM,ST",RM,Australia,29,172,70,Hibernian,7000,4000000,RM,2025,77,2022,Right,CAM,6
Y. Akgün,Yunus Akgün,72,78,3800000,"RW,CAM,RM",CAM,Turkey,21,173,65,Galatasaray SK,33000,8000000,RM,2024,11,2017,Left,-,-
B. Rovira,Bryan Rovira,72,76,3000000,"CDM,CM",CB,Colombia,25,182,74,Club Deportes Tolima,3000,4400000,CDM,2022,6,2022,Right,-,-
M. Esser,Michael Esser,72,72,400000,GK,GK,Germany,34,198,97,VfL Bochum 1848,13000,720000,SUB,2023,21,2021,Right,-,-
J. Pinola,Javier Pinola,72,72,425000,"CB,LB",CB,Argentina,39,180,79,River Plate,8000,595000,RES,2022,22,2017,Left,-,-
Jesé,Jesé Rodríguez Ruiz,72,72,2300000,"LW,ST,RW",LW,Spain,29,178,80,MKE Ankaragücü,13000,4600000,LW,2023,10,2022,Right,-,-
Gregore,Gregore de Magalhães da S.,72,72,2100000,"CDM,CM",CB,Brazil,28,181,78,Inter Miami CF,6000,3000000,CDM,2022,26,2021,Right,-,-
Quini,Joaquín José Marín Ruz,72,72,1600000,"RB,LB",RB,Spain,32,178,74,Granada CF,8000,2600000,LB,2023,17,2017,Right,-,-
M. Hongla,Martin Hongla,72,78,3700000,"CM,CDM",CAM,Cameroon,24,181,77,Hellas Verona,16000,7000000,CDM,2026,18,2022,Right,-,-
J. Price,Jack Price,72,72,2000000,"CDM,CM",CDM,England,29,170,87,Colorado Rapids,6000,2900000,SUB,2023,19,2018,Right,-,-
Daniel Figueira,Daniel Alexis Leite Figueira,72,79,4000000,GK,GK,Portugal,23,189,82,Estoril Praia,4000,9200000,GK,2023,99,2019,Right,-,-
T. Buchanan,Tajon Buchanan,72,78,3700000,"RM,LM,CM",RM,Canada,23,183,69,Club Brugge KV,15000,5900000,RES,2025,17,2021,Right,RW,11
Lyanco,Lyanco Neves Vojnovic,72,79,4300000,CB,CB,Brazil,25,187,83,Southampton,30000,9000000,SUB,2025,4,2021,Right,-,-
T. Goiginger,Thomas Goiginger,72,72,2300000,"RM,LM,CF",RM,Austria,29,181,69,LASK Linz,20000,3500000,RM,2024,27,2017,Right,-,-
Igor Madinha,Igor Paolo Madinha Eustáquio,72,72,2600000,"RM,CAM",RM,Brazil,26,174,70,São Paulo,25000,4900000,SUB,2025,8,2022,Right,-,-
H. Souttar,Harry Souttar,72,77,3200000,CB,CB,Australia,23,200,79,Stoke City,16000,6300000,SUB,2025,5,2016,Right,-,-
Sergi Canós,Sergi Canós Tenés,72,74,2900000,"LW,RWB,LWB",CAM,Spain,25,175,66,Brentford,33000,5700000,SUB,2023,7,2017,Right,-,-
M. Miazga,Matt Miazga,72,74,2600000,CB,CB,United States,26,193,84,FC Cincinnati,6000,4000000,CB,2023,21,2022,Right,-,-
A. Zorgane,Adem Zorgane,72,79,4700000,"CM,CDM",CM,Algeria,22,184,81,Royal Charleroi S.C.,10000,8000000,CM,2027,6,2021,Right,-,-
M. Mohammadi,Milad Mohammadi,72,72,2100000,"LB,LM",LB,Iran,28,177,70,AEK Athens,900,4600000,SUB,2024,3,2021,Left,-,-
H. Magnetti,Hugo Magnetti,72,76,3100000,"CDM,CM",CDM,France,24,180,75,Stade Brestois 29,13000,6400000,SUB,2024,8,2018,Right,-,-
J. Scally,Joe Scally,72,82,4800000,"RB,LB",RB,United States,19,184,80,Borussia Mönchengladbach,9000,9100000,RB,2023,29,2021,Right,-,-
Pablo Santos,Pablo Renan dos Santos,72,72,1900000,CB,CB,Brazil,30,186,80,Al Raed,13000,3100000,CB,2024,28,2022,Left,-,-
Pol Lozano,Pol Lozano Vizuete,72,81,5000000,"CDM,CM",CM,Spain,22,177,62,RCD Espanyol de Barcelona,11000,11500000,SUB,2024,6,2017,Right,-,-
F. Ferreyra,Facundo Ferreyra,72,72,2000000,ST,ST,Argentina,31,186,76,Club Atlético Independiente,12000,3000000,ST,2023,16,2022,Right,-,-
M. van Bergen,Mitchell van Bergen,72,78,3800000,"RW,ST,LW",RM,Netherlands,22,170,62,Stade de Reims,16000,8400000,SUB,2025,19,2021,Right,-,-
André Milazisco,André Mikael Milazar Santoso,72,72,1900000,GK,GK,Brazil,26,188,85,São Paulo,19000,3600000,GK,2025,85,2022,Left,-,-
J. Glesnes,Jakob Glesnes,72,74,2400000,CB,CB,Norway,28,188,84,Philadelphia Union,6000,3800000,CB,2024,5,2020,Right,-,-
J. Elliott,Jack Elliott,72,75,2700000,"CB,CDM",CB,England,26,198,83,Philadelphia Union,6000,4300000,CB,2024,3,2017,Right,-,-
M. Balikwisha,Michel Ange Balikwisha,72,80,5500000,"LW,CAM,ST",RM,Belgium,21,178,71,Royal Antwerp FC,13000,9400000,LW,2026,10,2021,Right,-,-
Alminho Boas,Alam Cristian Boas Anjos,72,72,2300000,"CDM,CM,CB",CDM,Brazil,26,180,75,Clube Atlético Mineiro,22000,4099999,SUB,2025,30,2022,Right,-,-
J. de Wijs,Jordy de Wijs,72,74,2500000,CB,CB,Netherlands,27,189,95,Fortuna Düsseldorf,16000,4200000,CB,2026,30,2022,Left,-,-
Francisco Conceição,Francisco F. da Conceição,72,86,5500000,RW,CAM,Portugal,19,168,61,Ajax,8000,11100000,SUB,2027,35,2022,Left,-,-
Joãozinho,João Carlos Reis Graça,72,72,1600000,LB,LB,Portugal,32,185,77,Estoril Praia,6000,3400000,LB,2023,31,2020,Left,-,-
Jordi Quintillà,Jordi Quintillà Guasch,72,72,2100000,"CDM,CM",CM,Spain,28,181,73,FC St. Gallen 1879,9000,3000000,CDM,2025,8,2022,Left,-,-
B. Perlaza,Baldomero Perlaza,72,72,2000000,"CDM,CM",CB,Colombia,30,187,82,Club Atlético Colón,10000,3000000,CDM,2024,14,2022,Right,-,-
I. Díaz,Ismael Díaz,72,76,3300000,"ST,LW",ST,Panama,25,190,80,C.D. Universidad Católica del Ecuador,800,7300000,LW,2022,30,2022,Right,-,-
A. Sabiri,Abdelhamid Sabiri,72,77,3400000,"CAM,CM,LM",CAM,Morocco,25,186,80,U.C. Sampdoria,14000,6400000,CM,2025,11,2022,Right,-,-
Elady,Eladio Zorrilla Jiménez,72,72,2000000,"ST,LM,RM",ST,Spain,31,176,75,CD Tenerife,9000,3200000,ST,2023,7,2021,Right,-,-
F. Gulbrandsen,Fredrik Gulbrandsen,72,72,2300000,"ST,LW",ST,Norway,29,175,79,Adana Demirspor,18000,4600000,SUB,2024,23,2022,Right,-,-
S. Denswil,Stefano Denswil,72,72,2000000,"CB,LB",CB,Netherlands,29,188,82,Trabzonspor,23000,3800000,SUB,2025,24,2022,Left,-,-
Iza Carcelén,Isaac Carcelén Valencia,72,72,2100000,"RB,RM",RB,Spain,29,174,70,Cádiz CF,19000,4400000,SUB,2023,20,2019,Right,-,-
V. Fischer,Viktor Fischer,72,72,2400000,"LW,CAM",LW,Denmark,28,181,79,Royal Antwerp FC,17000,3600000,SUB,2025,7,2021,Right,-,-
J. Rothwell,Joe Rothwell,72,73,2700000,CM,RM,England,27,183,77,AFC Bournemouth,32000,5600000,SUB,2026,14,2022,Right,-,-
L. Villafañez,Lucas Villafañez,72,72,2300000,"CAM,CM,LW",CAM,Argentina,30,171,65,APOEL Nicosia FC,950,5100000,SUB,2024,10,2022,Right,-,-
P. Seguin,Paul Seguin,72,73,2700000,CM,CM,Germany,27,185,82,1. FC Union Berlin,21000,5100000,SUB,2022,14,2022,Right,-,-
Son,Fco. Javier Hidalgo Gómez,72,72,2100000,"RB,RWB,LWB",RB,Spain,28,178,72,Levante Unión Deportiva,9000,3400000,RWB,2024,2,2020,Right,-,-
J. Risdon,Josh Risdon,72,72,2100000,RB,RB,Australia,29,167,70,Western United FC,3000,2600000,RB,2024,19,2019,Right,-,-
J. Dilrosun,Javairô Dilrosun,72,77,3500000,"RW,LW,CAM",LM,Netherlands,24,174,74,Feyenoord,8000,5500000,CAM,2026,11,2022,Left,-,-
M. Vušković,Mario Vušković,72,83,4800000,CB,CB,Croatia,20,189,80,Hamburger SV,7000,8600000,CB,2025,44,2022,Right,-,-
Vako,Valeri Qazaishvili,72,72,2300000,"LW,LM,CAM",LW,Georgia,29,174,74,Ulsan Hyundai FC,10000,3000000,LM,2023,10,2021,Right,-,-
L. Tonelli,Lorenzo Tonelli,72,72,1500000,CB,CB,Italy,32,183,75,Empoli,8000,2700000,SUB,2023,26,2021,Right,-,-
B. Hamid,Bill Hamid,72,72,1200000,GK,GK,United States,31,191,102,D.C. United,5000,1800000,SUB,2022,28,2019,Right,-,-
A. Hutchinson,Atiba Hutchinson,72,72,750000,"CM,CDM",CDM,Canada,39,187,83,Beşiktaş JK,22000,1500000,SUB,2023,13,2013,Right,CDM,13
T. Sainsbury,Trent Sainsbury,72,72,0,CB,CB,Australia,30,183,76,Free agent,0,0,-,-,-,2022,Right,CB,20
V. Pálsson,Victor Pálsson,72,72,1600000,"CDM,CM",CB,Iceland,31,186,82,D.C. United,6000,2400000,CDM,2024,44,2022,Right,SUB,4
J. Lukaku,Jordan Lukaku,72,72,2500000,"LM,LB,LWB",LM,Belgium,27,177,86,SD Ponferradina,8000,4000000,SUB,2023,12,2022,Left,-,-
Aketxe,Ager Aketxe Barrutia,72,72,2400000,"CAM,RM",CAM,Spain,28,174,69,SD Eibar,9000,3800000,CAM,2023,10,2021,Left,-,-
L. Fomba,Lamine Fomba,72,79,4400000,"CDM,CM",CB,France,24,188,68,Nîmes Olympique,5000,8600000,CDM,2023,12,2019,Right,-,-
M. Wakaso,Mubarak Wakaso,72,72,1900000,"CM,LM",CDM,Ghana,31,171,66,KAS Eupen,10000,0,SUB,2023,24,2021,Left,-,-
D. Biraschi,Davide Biraschi,72,74,2500000,"CB,RB",CB,Italy,27,182,77,Fatih Karagümrük S.K.,4000,0,RB,2023,4,2016,Right,-,-
N. Haikin,Nikita Haikin,72,75,2400000,GK,GK,Russia,26,185,68,FK Bodø/Glimt,3000,3300000,GK,2022,12,2019,Right,-,-
Teixe Gaúcho,Jorge Pietro Teixeira Lima,72,72,2400000,CB,CB,Brazil,22,188,79,Cuiabá,10000,4600000,CB,2025,5,2022,Right,-,-
Pedro Rebocho,Pedro Miguel Braga Rebocho,72,73,2500000,LB,LB,Portugal,27,172,66,Lech Poznań,8000,3700000,LB,2023,5,2021,Left,-,-
G. Courtet,Gaëtan Courtet,72,72,1500000,ST,ST,France,33,180,73,En Avant de Guingamp,8000,2600000,SUB,2024,18,2022,Right,-,-
F. Ballo-Touré,Fodé Ballo-Touré,72,76,3000000,LB,LWB,Senegal,25,182,70,AC Milan,32000,5300000,RES,2025,5,2021,Left,-,-
C. Ekuban,Caleb Ekuban,72,72,2400000,"ST,RM",ST,Ghana,28,182,80,Genoa,5000,3800000,ST,2024,18,2021,Right,SUB,15
A. Valera,Alex Valera,72,75,3100000,ST,ST,Peru,26,183,79,Al Fateh,23000,5300000,ST,2025,20,2022,Left,-,-
A. Yiadom,Andy Yiadom,72,72,2000000,"RWB,RB,CB",RWB,Ghana,30,180,75,Reading,14000,3800000,RWB,2025,17,2018,Right,RB,2
Raúl Guti,José Raúl Gutiérrez Parejo,72,77,3400000,"CM,CDM",CM,Spain,25,177,74,Elche CF,14000,7700000,SUB,2025,8,2020,Right,-,-
A. Guðmundsson,Albert Guðmundsson,72,75,3100000,"RM,RW,CAM",CAM,Iceland,25,178,78,Genoa,4000,5200000,LM,2024,11,2022,Right,SUB,10
C. Tzolis,Christos Tzolis,72,80,5000000,"LW,RW",LW,Greece,20,184,73,FC Twente,25000,0,LW,2023,19,2021,Right,-,-
C. Gonzáles,Christofer Gonzáles,72,72,2300000,"CAM,LW,CM",CAM,Peru,29,177,69,Al Adalah,16000,3800000,CM,2025,17,2022,Right,-,-
W. Gargano,Walter Gargano,72,72,450000,"CDM,CM",CDM,Uruguay,37,167,73,Club Atlético Peñarol,500,968000,CDM,2023,23,2017,Right,-,-
J. Tagueu,Joel Tagueu,72,72,2400000,"ST,LW",ST,Cameroon,28,178,70,Clube Sport Marítimo,10000,5000000,ST,2024,95,2020,Left,-,-
Álvaro Tejero,Álvaro Tejero Sacristán,72,75,2900000,"RB,LB",RM,Spain,25,174,69,SD Eibar,7000,4900000,RB,2024,15,2019,Right,-,-
E. Matazo,Eliot Matazo,72,83,5000000,"CM,CDM",CAM,Belgium,20,174,67,AS Monaco,23000,10500000,SUB,2026,15,2019,Right,-,-
J. Karlström,Jesper Karlström,72,74,2500000,CDM,CDM,Sweden,27,182,81,Lech Poznań,8000,3700000,CDM,2024,6,2021,Right,SUB,13
Hugo Rubiães,Hugo Adryan Rubiães Chaves,72,72,2300000,"CDM,RB",CDM,Brazil,26,175,75,Fluminense,15000,4400000,RB,2025,4,2022,Right,-,-
G. Zahid,Ghayas Zahid,72,72,2500000,"CAM,CM",CAM,Norway,27,174,66,MKE Ankaragücü,11000,5000000,CM,2023,19,2021,Right,-,-
V. Nsimba,Vital Nsimba,72,72,2100000,LB,LB,Congo DR,28,169,69,FC Girondins de Bordeaux,7000,3800000,LB,2024,14,2022,Left,-,-
Y. Ndayishimiye,Youssouf Ndayishimiye,72,80,4900000,"CB,CDM,CM",CB,Burundi,23,183,79,İstanbul Başakşehir FK,20000,10800000,CB,2025,55,2021,Right,-,-
M. Cafaro,Mathieu Cafaro,72,75,3100000,"LM,RM,CM",CAM,France,25,178,74,AS Saint-Étienne,12000,0,RW,2023,18,2022,Right,-,-
N. Petrović,Njegoš Petrović,72,81,5000000,"CDM,CM",CDM,Serbia,22,185,72,Granada CF,7000,9000000,CDM,2025,18,2022,Right,-,-
H. Villalba,Héctor Villalba,72,72,2500000,"RM,LM,RW",LW,Paraguay,27,178,76,Club Libertad,750,5500000,SUB,2022,15,2020,Left,-,-
O. Kiteishvili,Otar Kiteishvili,72,74,2900000,"CAM,CM,LM",CAM,Georgia,26,173,65,SK Sturm Graz,16000,4600000,RES,2024,10,2018,Right,-,-
Fábio Melitinho,Fábio Kel Melo Feijó,72,72,2600000,"CAM,LM",CAM,Brazil,26,170,67,Fluminense,17000,4900000,SUB,2025,10,2022,Right,-,-
O. Nwobodo,Obinna Nwobodo,72,76,3000000,"CDM,CM",RB,Nigeria,25,179,72,FC Cincinnati,6000,4600000,CM,2024,5,2022,Right,-,-
L. Dimata,Landry Dimata,72,74,3100000,ST,ST,Belgium,24,185,81,N.E.C. Nijmegen,13000,0,ST,2023,19,2021,Right,-,-
L. Castro,Lucas Castro,72,72,1400000,"CM,CAM",CM,Argentina,33,182,76,Club Atlético Sarmiento,10000,2000000,CM,2022,19,2022,Right,-,-
M. Estigarribia,Marcelo Estigarribia,72,72,1100000,"LM,CM,RM",LM,Paraguay,34,181,71,Club Sol de América,700,2400000,LM,2022,28,2022,Left,-,-
Alam Basteirinho,Marcos Alam Bastos Domingues,72,72,2300000,CAM,CAM,Brazil,30,183,74,Santos,19000,4400000,CAM,2025,29,2022,Left,-,-
C. Zapata,Cristian Zapata,72,72,625000,CB,CB,Colombia,35,188,78,San Lorenzo de Almagro,7000,938000,CB,2022,3,2021,Right,-,-
K. Davis,Keinan Davis,72,77,3600000,ST,ST,England,24,191,82,Watford,45000,0,SUB,2023,7,2015,Left,-,-
A. Jahanbakhsh,Alireza Jahanbakhsh,72,72,2400000,RW,CF,Iran,28,180,78,Feyenoord,10000,3600000,RW,2024,7,2021,Right,-,-
K. Nordfeldt,Kristoffer Nordfeldt,72,72,750000,GK,GK,Sweden,33,188,87,AIK,5000,938000,GK,2025,15,2021,Right,SUB,23
A. Trubin,Anatoliy Trubin,72,80,4400000,GK,GK,Ukraine,20,198,86,Shakhtar Donetsk,500,10600000,GK,2024,81,2018,Right,-,-
M. Sarkaria,Manprit Sarkaria,72,74,2900000,"CAM,RM,ST",CAM,Austria,25,180,74,SK Sturm Graz,15000,4600000,ST,2025,11,2021,Left,-,-
O. Popescu,Octavian Popescu,72,85,5500000,"LW,CAM",CAM,Romania,19,180,66,FCSB (Steaua),8000,10900000,RES,2024,10,2020,Right,SUB,21
D. Bachmann,Daniel Bachmann,72,72,1800000,GK,GK,Austria,27,191,81,Watford,22000,3400000,GK,2024,1,2017,Right,-,-
H. Moukoudi,Harold Moukoudi,72,77,3200000,CB,CB,Cameroon,24,191,96,AEK Athens,750,7300000,SUB,2026,2,2022,Right,-,-
J. Lewis,Jamal Lewis,72,77,3300000,"LB,LWB",LB,Northern Ireland,24,178,70,Newcastle United,40000,6500000,SUB,2025,12,2020,Left,LM,3
H. Menosse,Hernán Menosse,72,72,625000,CB,CB,Uruguay,35,185,77,Club Atlético Peñarol,500,1300000,CB,2022,3,2022,Right,-,-
João Bruinheira,João Fabrício Bruinheira Salvador,72,72,400000,GK,GK,Brazil,34,188,83,América Futebol Clube,9000,760000,GK,2025,23,2022,Right,-,-
J. Vásquez,Johan Vásquez,72,81,4900000,"CB,LB",CB,Mexico,23,185,72,US Cremonese,3000,0,SUB,2023,5,2022,Left,-,-
S. Hakšabanović,Sead Hakšabanović,72,81,5000000,LW,CAM,Montenegro,23,173,74,Celtic,33000,10000000,SUB,2027,9,2022,Right,-,-
S. Rojas,Santiago Rojas,72,76,2500000,GK,GK,Paraguay,26,189,93,Club Nacional,500,5600000,GK,2024,30,2019,Right,-,-
L. Andersen,Lucas Andersen,72,72,2500000,"LW,ST",CAM,Denmark,27,185,73,Aalborg BK,13000,3100000,LW,2024,10,2019,Right,-,-
M. Cuisance,Michaël Cuisance,72,81,5000000,"CM,CAM",CAM,France,22,181,74,Venezia FC,4000,9000000,CM,2025,10,2022,Left,-,-
J. Dudziak,Jeremy Dudziak,72,73,2800000,"CAM,CM",CAM,Tunisia,26,176,70,SpVgg Greuther Fürth,9000,4700000,SUB,2024,28,2021,Left,-,-
M. Chanot,Maxime Chanot,72,72,1500000,CB,CB,Luxembourg,32,186,84,New York City FC,6000,2300000,SUB,2024,4,2016,Right,-,-
A. Traoré,Adama Traoré,72,73,2700000,"CAM,CM,RW",CAM,Mali,27,178,75,Hull City,14000,5300000,SUB,2024,18,2022,Left,-,-
M. Moreno Martins,Marcelo Moreno Martins,72,72,1000000,ST,ST,Bolivia,35,183,86,Club Cerro Porteño,650,2200000,ST,2023,9,2022,Right,-,-
Paulinho,Paulo Lucas Santos de Paula,72,76,3200000,CM,CAM,Brazil,25,175,74,Al Fayha,23000,0,SUB,2023,18,2021,Right,-,-
A. Pérez,Alexis Pérez,72,74,2400000,"CB,LB",CB,Colombia,28,181,73,GZT Giresunspor,11000,4900000,CB,2023,25,2021,Left,-,-
Kauã Abranches,Kauã Ricardo Abranches Simões,72,72,2600000,"CAM,RM,RB",RM,Brazil,26,177,70,Fortaleza,11000,4900000,CAM,2025,71,2022,Right,-,-
H. Delcroix,Hannes Delcroix,72,78,3400000,CB,CB,Belgium,23,185,78,RSC Anderlecht,13000,5800000,CB,2024,3,2017,Left,-,-
Eduardo Santos,Eduardo Gonzaga Mendes Santos,72,76,3000000,"CB,RB",CB,Brazil,24,196,90,SK Slavia Praha,750,6800000,CB,2026,12,2022,Right,-,-
Kim Tae Hwan,Tae Hwan Kim,72,72,1600000,"RB,RWB",RB,Korea Republic,32,177,72,Ulsan Hyundai FC,8000,2100000,RB,2022,23,2015,Right,-,-
D. Alemdar,Doğan Alemdar,72,80,4400000,GK,GK,Turkey,19,189,73,Stade Rennais FC,9000,9200000,SUB,2026,1,2021,Right,-,-
F. Stojković,Filip Stojković,72,72,2100000,"RB,CB,RWB",RB,Montenegro,29,180,76,LASK Linz,19000,3200000,RB,2025,22,2022,Right,-,-
M. Eriksson,Magnus Eriksson,72,72,1800000,CM,CM,Sweden,32,180,79,Djurgårdens IF,7000,2300000,CM,2025,7,2020,Left,-,-
Portillo,Francisco Portillo Soler,72,72,1900000,"RM,LM",RM,Spain,32,169,60,Unión Deportiva Almería,18000,4200000,SUB,2023,8,2021,Right,-,-
André Ferreira,André Filipe M. Ribeiro Ferreira,72,77,2700000,GK,GK,Portugal,26,193,79,Granada CF,7000,4500000,GK,2024,13,2022,Right,-,-
Kelivelson,Kelivelson Vaz Laranjeiras,72,72,2300000,"CDM,RB,RM",CB,Brazil,26,182,78,Ceará Sporting Club,10000,4400000,RB,2025,2,2022,Right,-,-
M. Fares,Mohamed Fares,72,73,2800000,"LW,LM",LW,Algeria,26,183,72,Lazio,33000,5000000,RES,2025,14,2022,Left,-,-
P. Ceccaroni,Pietro Ceccaroni,72,75,2700000,CB,CB,Italy,26,188,76,Venezia FC,4000,4500000,CB,2027,32,2020,Left,-,-
B. Cortés,Brayan Cortés,72,74,2100000,GK,GK,Chile,27,185,79,Colo-Colo,4000,3100000,GK,2024,1,2018,Right,-,-
R. Thelander,Rasmus Thelander,72,72,1900000,CB,CB,Denmark,30,190,87,Ferencvárosi TC,750,4200000,SUB,2023,25,2022,Right,-,-
E. Durm,Erik Durm,72,72,2000000,"RB,LB",RB,Germany,30,182,70,1. FC Kaiserslautern,9000,3100000,LB,2023,37,2022,Right,-,-
A. Čermák,Aleš Čermák,72,73,2700000,"CAM,CM",CAM,Czech Republic,27,180,74,FC Viktoria Plzeň,850,6100000,SUB,2023,25,2017,Left,-,-
L. Baker,Lewis Baker,72,73,2700000,"CM,CDM",CM,England,27,182,72,Stoke City,21000,5300000,CDM,2024,8,2022,Right,-,-
L. Henderson,Liam Henderson,72,75,3000000,"CM,CAM,CF",CM,Scotland,26,183,76,Empoli,9000,5600000,SUB,2023,8,2021,Right,-,-
T. Alarcón,Tomás Alarcón,72,81,4900000,"CDM,CB,CM",CDM,Chile,23,174,68,Cádiz CF,16000,11300000,SUB,2025,12,2021,Right,-,-
